text,sentiment,,,,,,
_rain i wanna see her hair  hows everyone?,neutral,,,,,,
 Or FTRH -- For The Ride Home,neutral,,,,,,
" english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",negative,,,,,,
 i want chinese food really baaad.,positive,,,,,,
is downloading songs  http://plurk.com/p/rp8wx,neutral,,,,,,
" I almost said, 'and grammer no exist either' grunt.  But I stopped myself",neutral,,,,,,
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive,,,,,,
 ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,positive,,,,,,
seeing shane dawson videos,neutral,,,,,,
  sad face.,negative,,,,,,
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,negative,,,,,,
Already misses ,negative,,,,,,
"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",positive,,,,,,
  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,positive,,,,,,
" awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",negative,,,,,,
at famous dave`s with my mom. so hungry.,neutral,,,,,,
 I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,positive,,,,,,
"home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt",neutral,,,,,,
"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",negative,,,,,,
I feel so deflated. No more doggy.,negative,,,,,,
 sad about young love coming to an end  They were sooo cute together!,neutral,,,,,,
 Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,negative,,,,,,
"owww, back pain  hm, walmart or no? i could get cupcakes~",negative,,,,,,
 i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again,neutral,,,,,,
Making my boyfriend look different.  He`s  cute no matter what. <3,positive,,,,,,
 LOL thx,positive,,,,,,
is working until 11 tonight  http://plurk.com/p/x2kbv,neutral,,,,,,
 well there go my peace corps prospects.,positive,,,,,,
rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,neutral,,,,,,
" Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",positive,,,,,,
"whatever will be, will be",neutral,,,,,,
Wango tango!!! Good night all,neutral,,,,,,
 i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,negative,,,,,,
 hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,neutral,,,,,,
Fixing openbox theme a little,neutral,,,,,,
Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,neutral,,,,,,
"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",negative,,,,,,
 i wish i wasn`t all  bummed but i kinda am,positive,,,,,,
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative,,,,,,
looking at the sunshine out of my office window,neutral,,,,,,
Back is SORE... should not have done that jump last night,negative,,,,,,
 We are working,neutral,,,,,,
'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,positive,,,,,,
"Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.",neutral,,,,,,
nope no way in to stop  just have to put up wiv it,neutral,,,,,,
I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!,neutral,,,,,,
" Not so much a substitute as a variation. Ate too much, too. Oof",neutral,,,,,,
"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",positive,,,,,,
 Oui mademoiselle. You can barely turn around these days without bumping into one.,neutral,,,,,,
Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,neutral,,,,,,
Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family,neutral,,,,,,
 your`e a freak,neutral,,,,,,
 i dont even know now lenaaa  when you going clothes show?,neutral,,,,,,
_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.,neutral,,,,,,
Memories,neutral,,,,,,
 Yep. Nothing to worry about.,positive,,,,,,
back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,negative,,,,,,
" Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes",neutral,,,,,,
 Make a videoblog!,neutral,,,,,,
reading Evermore by Lynn Viehl.,neutral,,,,,,
Wow what a storm we just had!!! Now no power,positive,,,,,,
getting my phone back this week  yeeeewww,positive,,,,,,
back from school  daily show was amazing  gonna watch it again later i think xD,positive,,,,,,
_breez Yer please do! Have a good day!,positive,,,,,,
#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,neutral,,,,,,
 hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,positive,,,,,,
right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,positive,,,,,,
"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa",neutral,,,,,,
watching Army Wives and it always makes me cry,negative,,,,,,
productive day 1,positive,,,,,,
Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,neutral,,,,,,
 gotta love the summer,positive,,,,,,
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,neutral,,,,,,
" alas no, it`s just a normal night  monday is quiz night",neutral,,,,,,
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,neutral,,,,,,
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!,positive,,,,,,
 Cool. That`d be fantastic!,positive,,,,,,
live on stickam.com/itstyleryo COME CHAT!,neutral,,,,,,
   But  is right: This is like the Cape Breton coal mines but ++. No lessons learned.,neutral,,,,,,
" Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",negative,,,,,,
Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!,positive,,,,,,
 srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,negative,,,,,,
 me because I might not have enough money for college!!!,negative,,,,,,
lol! woow okay its not that big of a deal,neutral,,,,,,
I love how when I leave my laptop on my bed it creates a nice toasty spot,positive,,,,,,
 I mean someone hit a dog with a car. It was just laying there,neutral,,,,,,
 Does it start tomorrow?  I was going to book Sam on that and forgot,negative,,,,,,
" salt and vinegar, cheese and onion make your breathe smell lol  ****",negative,,,,,,
 You`re welcome. There!  I added you already!,positive,,,,,,
"_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...",neutral,,,,,,
" Sorry to hear about your dude probs, what is it that`s too much?",negative,,,,,,
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,negative,,,,,,
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",negative,,,,,,
just downloaded the tweet deck....look at my and my saviness,neutral,,,,,,
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,positive,,,,,,
 whatever i know you like it.  HAHAHHAH!,positive,,,,,,
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,negative,,,,,,
Good morning twitterland. Happy Monday,positive,,,,,,
Writing reports....,neutral,,,,,,
thanks timmy.  turns out he has strep and a high fever.,positive,,,,,,
" oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",positive,,,,,,
keeping it chilled.,positive,,,,,,
what a beautiful day not to got to my first class,positive,,,,,,
 Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,positive,,,,,,
" yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral,,,,,,
_ that sucks!,negative,,,,,,
 yes it does,positive,,,,,,
_datti Thanks sankar for ur wishes,positive,,,,,,
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",positive,,,,,,
" sorry bout the cat,",negative,,,,,,
 You`re the only person to have joined in  #penilewords,neutral,,,,,,
Up and washed  I`m clothing myself as I type xD WOOOO,positive,,,,,,
 miss u too. I`m still at a club...u know...west coast ****!,negative,,,,,,
 love love love pot psycology. My Friday night treat,positive,,,,,,
Happy Star Wars Day  May the fourth be with you!,positive,,,,,,
 Playing with lighters fire matches and grass,neutral,,,,,,
_art That would be the one.  It`s awesome sauce.,positive,,,,,,
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",neutral,,,,,,
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive,,,,,,
coffee time,neutral,,,,,,
" He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",neutral,,,,,,
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",negative,,,,,,
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",positive,,,,,,
 I always hope they will die out but then i see the the old ones and it makes me sad,negative,,,,,,
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral,,,,,,
 don`t follow me. You will ruin my twitter experience,negative,,,,,,
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,negative,,,,,,
Weetabix and Choco milk  Yum!,positive,,,,,,
 me too!,neutral,,,,,,
I`m sad to have lost another person close to me to cancer,negative,,,,,,
_me Thanks! Kinda bittersweet though,neutral,,,,,,
_Nutbar Good morning  how are you? #TwitterTakeover,positive,,,,,,
First time to Twitter..,neutral,,,,,,
Captain Jack is back,neutral,,,,,,
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative,,,,,,
"Internet, you were so fast! And now you are so slow! Where did the fast connection go?",neutral,,,,,,
 6 am.  you?,neutral,,,,,,
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,negative,,,,,,
this weather makes my fingers numb / still waiting,negative,,,,,,
 LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,positive,,,,,,
DONE--IT`S SUMMER!!!,neutral,,,,,,
 I was just at Geno`s 3hrs ago.  Would have went to Pats but the Neon Lights got me lol.  Had drinks at South Philly Bar too,neutral,,,,,,
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive,,,,,,
 Its WoW! effect  Thanks for the update.,positive,,,,,,
"got up at 8 today, and also misses his friend ",negative,,,,,,
catching up on my reading... twitter n BF break,neutral,,,,,,
" No, that`s not right - I remember now.  You were in a fearless tweet - we were both seen as fearless.",neutral,,,,,,
  my thoughts dwell on a certain person,neutral,,,,,,
Transition time is over; tonight I work night shift. I woke up at 1330.,neutral,,,,,,
Gonna go to work with my honey today!!!! So exciting!!!,positive,,,,,,
_ aww thats too bad you lost it though,negative,,,,,,
 this my new more private acc. Will only use it for close twitter friends,neutral,,,,,,
I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,negative,,,,,,
" actually, the web works fine. tweetdeck seems to be the culprit  sadness! it`s done this at two diff. locations",neutral,,,,,,
_x How did your Geo ISU go? I swear I just had the worse day ever..,negative,,,,,,
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",negative,,,,,,
 tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,neutral,,,,,,
"_tdh Can you install ruby, gems and rails on keep? Please?",neutral,,,,,,
Out for ultimate training. looking forward to the sunset!,positive,,,,,,
going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,positive,,,,,,
 Good to see you back. Sorry that happened to you,neutral,,,,,,
My 1st Mothers Day Tomorrow,neutral,,,,,,
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",positive,,,,,,
" I just about clear my whole office and no sign of it  next place is truck, I have yet to fully clean under back seat lol!",neutral,,,,,,
 It`s not gonna storm!  because I said so!,neutral,,,,,,
 I broke my ipod,negative,,,,,,
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,negative,,,,,,
 Haha and you should! State pride is important,positive,,,,,,
" Ugh, did you just say your friend might have swine flu? OMG, why?",negative,,,,,,
" haha no problem, it`s fun isn`****",positive,,,,,,
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",positive,,,,,,
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,positive,,,,,,
 that sucks  booo.,negative,,,,,,
Hates untalented **** being mean to my talented friends,neutral,,,,,,
looks like we`re rained out for weekend climbing,negative,,,,,,
Is Google Maps not working for anyone else?,neutral,,,,,,
 oh ****!!,negative,,,,,,
 i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,negative,,,,,,
 Jesus heals,positive,,,,,,
 It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything!  #BillyIdol,neutral,,,,,,
 werd. that`s very true,neutral,,,,,,
 Your birthday? WELL Happy birthday,positive,,,,,,
Without wings again,neutral,,,,,,
 did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,positive,,,,,,
Night twitterland x I have to be up in five hours  sigh,neutral,,,,,,
 Happy birthday in 2 hours and 54 minuets  Haha,positive,,,,,,
"lunch break`s over, going back to work....",neutral,,,,,,
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,positive,,,,,,
 Hayley Williams is pretty much amazzing,positive,,,,,,
 the app said i need 12.1.5 or later,neutral,,,,,,
 --Nothing,neutral,,,,,,
is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,neutral,,,,,,
 not really having a good night... missing my little girl...,negative,,,,,,
  miss you captain,negative,,,,,,
Im sending this to my mother!  http://bit.ly/1aa1RF,neutral,,,,,,
" OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",negative,,,,,,
 i am public and can`t get anyone to follow me,neutral,,,,,,
" Until  brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.",neutral,,,,,,
 Boring? Who you been talking to? Lol not me  ( no ****),neutral,,,,,,
"  I know, right? I guess the oldest doesn`t hold rank on field trips anymore.",neutral,,,,,,
"just signed up..so, hello twitter world, here I am",neutral,,,,,,
 I won`t be getting any ROTF toys `till MUCH later.  Tell me if anybody isn`t/is worth getting.,neutral,,,,,,
 heading over to xbox  will go shopping 2morrow,neutral,,,,,,
 I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,neutral,,,,,,
is excited!  http://plurk.com/p/stk04,positive,,,,,,
 hmmm really??? that`s weird idk about that one  sowwy,negative,,,,,,
 oh that looks boring  and even more boring you have an exam on a saturday,negative,,,,,,
Practice was a beast today. Not going to see Julian tonight,neutral,,,,,,
"Getting somewhere with my first 'real' KiokuDB and catalyst app, yay",neutral,,,,,,
 Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,positive,,,,,,
 i think my niece got me sickee  lame.,negative,,,,,,
Rise and shine  Time to get prettifide.,positive,,,,,,
" I tried sooooo hard to work from home today, but failed  Not my fault though.",negative,,,,,,
 Gosh I`ve a stinky old headache. Maybe I should have lunchfast,negative,,,,,,
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,neutral,,,,,,
bout 2 have 1 more drink then imma head in da house,neutral,,,,,,
"i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back",neutral,,,,,,
I love my life  Ni night twitter!<3,positive,,,,,,
 We knew what what you meant!,neutral,,,,,,
Succesfully following Tayla!!,positive,,,,,,
my new phrase is `you never doubt mo williams`   six game win streak!,neutral,,,,,,
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,positive,,,,,,
 4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,neutral,,,,,,
trying to learn to tweet!!  it`s all good I hope..,positive,,,,,,
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative,,,,,,
"Great, social network sites are still growing",positive,,,,,,
 If I got paid by the hour I could retire by now  do you have xBox live? I am thinking Rock Band,neutral,,,,,,
"I should learn not to walk all day, and then sprint through sprinklers without stretching.",neutral,,,,,,
 So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!,positive,,,,,,
 I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway  lol,neutral,,,,,,
"  Laws change in the 70s or 80s.   I could really push it bcause gran from Bathgate, but she was US citizen b4 dad born.",neutral,,,,,,
some of my new followers are pretty cool tweeps; check `em out.,positive,,,,,,
"no work today! went shopping, and now relaxing  &learning for the toefl",positive,,,,,,
Is off to watch arsenal v chelsea today,neutral,,,,,,
He`s getting ear tubes in about an hour so no food,neutral,,,,,,
 yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,negative,,,,,,
left the bases loaded...,neutral,,,,,,
 Cowboy westerns...haven`t seen those in a while. good luck,positive,,,,,,
 It`s already over? ****!,negative,,,,,,
 I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now,neutral,,,,,,
Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.,neutral,,,,,,
My dad knows i got drunk today. And i didnt get in trouble.,positive,,,,,,
" so i`ll excuse your love for the Cavs and the west, even though I don`t share it!",neutral,,,,,,
" Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",negative,,,,,,
 **** i wanna see the rest!! i only saw like 30 minutes,negative,,,,,,
Happy mothers day mom!!!  i love you.,positive,,,,,,
"burning cd`s,,,,,,,,, **** outa blank disc`s",positive,,,,,,
" new album is truly genius, so happy with it",positive,,,,,,
 you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff,negative,,,,,,
 Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x,positive,,,,,,
crying to A Walk To Remember as usual,negative,,,,,,
i only hav 8 followers                 !,neutral,,,,,,
happy star wars day everyone  off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,positive,,,,,,
"I also have a certain CD from camp that a certain somebody gave me...  Yeah, there`s this guy in the video that`s really frickin hot!",positive,,,,,,
IT`S MOTHER`S DAY,neutral,,,,,,
Yay for birthdays  sadly my voice is almost gone :/ but it was a pretty good night!,neutral,,,,,,
"we finally hit 1,000 friends! thanks!",positive,,,,,,
 I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.,neutral,,,,,,
I`m at work....bored out of my mind.,negative,,,,,,
watching the notebook,neutral,,,,,,
 Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time,neutral,,,,,,
"twitters gettin a lil bit confusin... twitterific?twitdroid?twitterberry? i understant the txt bit tho lol  ah well, twitters cool anyways",neutral,,,,,,
Finally sleep time,neutral,,,,,,
 http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,positive,,,,,,
The Heater blew up,negative,,,,,,
 i tried. and failed,negative,,,,,,
"  just finished mine, some parts were remarkably difficult  cramming kanji now!",negative,,,,,,
why is everyones tweets about britains got talent?! i feel left out,negative,,,,,,
yay mothers day  i love mi madre,positive,,,,,,
They wouldn`t reverse any of my overdraft fees.,negative,,,,,,
_N9ne I`m not having a good day,negative,,,,,,
i miss the Soulja Boy dance...,negative,,,,,,
"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",negative,,,,,,
11 Days left until freedom. I really just want to get through this weekend. I hate essays.,negative,,,,,,
  lol you guys are awesome,positive,,,,,,
"Home, good night world",positive,,,,,,
" http://twitpic.com/4vtlm - awww, she is really cute",positive,,,,,,
got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,positive,,,,,,
lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,negative,,,,,,
" well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh",neutral,,,,,,
Happy Mother`s Day all of the mom`s around the world!  I love mine more than anything in the world and can`t wait to celebrate! WOO!,positive,,,,,,
I put a real pic of myself up. I`m going to miss the avatar.,negative,,,,,,
doing my folio work but keep on getting distracted by deb pics,negative,,,,,,
sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,neutral,,,,,,
I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,negative,,,,,,
Had to take my bad **** dog to the pet hotel....so sad,negative,,,,,,
about to hit the sheets.,neutral,,,,,,
"I wish i had my iPod , i need some jonas . I miss their sexy voices  JB forever !",neutral,,,,,,
watching Gilmore Girls reruns!! Don`t know what else to do for the day,neutral,,,,,,
"Wow, its hot and miserable. People are probably killing themselves right about now...",negative,,,,,,
 Thanks mama ! I absolutely adore her,positive,,,,,,
" ohh snapp, have fun",neutral,,,,,,
Sitting waiting for an exam to start,neutral,,,,,,
 I don`t think I`ve ever tried peanut butter on toast,neutral,,,,,,
" i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.",positive,,,,,,
Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.,positive,,,,,,
we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,positive,,,,,,
"  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!",positive,,,,,,
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,negative,,,,,,
 I`m sure she`ll be fine. They`re not as daft as they look (sometime),neutral,,,,,,
HA! I`d give Kristen plenty of free hugs! *sigh* if only I could,neutral,,,,,,
" And, yes. I <3 mac, if only it weren`t so expensive",neutral,,,,,,
 I hate cottage cheese.  I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,negative,,,,,,
  link isn`t working,neutral,,,,,,
I just need to go to the bank,neutral,,,,,,
" you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!",positive,,,,,,
_jonas101 WOW they`re totally amazing and they`re more than awesome,positive,,,,,,
Just got laid off  stupid economy!,negative,,,,,,
http://twitpic.com/67i90 - My plans have been ruined,negative,,,,,,
"nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!",positive,,,,,,
`Wake Up Darling`,neutral,,,,,,
 oh I know. and I aprreciate it  it can be my back up plan,positive,,,,,,
" Yes, I would love some more cowbell!",positive,,,,,,
 Umm don`t ya mean ship,neutral,,,,,,
i really wanna go to australia and england.,neutral,,,,,,
"I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!",neutral,,,,,,
just had a gym sesh.,neutral,,,,,,
Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,negative,,,,,,
"Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",negative,,,,,,
"I`m a sad panda, hulu doesn`t have the elephant show   no Skinnamarinkydinkydink sing alongs for me.",negative,,,,,,
 what`s up? what happened? DM me if you need to. TXT on my phone is defunk`d,neutral,,,,,,
is 500 words into a 10 minute speech on 80s teen movies. due wednesday. blah blah. can`t wait for the glenn ball!,neutral,,,,,,
I`m gonna cry    I went bad at my History test ! I really hate History  !,negative,,,,,,
"just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, im not really sleepy",neutral,,,,,,
Going to work,neutral,,,,,,
 i agree with the whole Hollie thing,neutral,,,,,,
_ Truetrue  But he`s not! xD,positive,,,,,,
"Sad I missed  going away party due to too much work, but I really am gonna miss that kid",negative,,,,,,
I`ve come to the conclusion that lemongrass chicken tastes like lysol -  so much for lunch!,neutral,,,,,,
One of the most random phone calls ever. My god kill me now.,negative,,,,,,
& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest,positive,,,,,,
"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..",negative,,,,,,
tomorrow`s mother`s day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<,positive,,,,,,
it makes me sad when people phones are sick,negative,,,,,,
taking care of sick children,positive,,,,,,
 welcome to my life,positive,,,,,,
" Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",positive,,,,,,
 yup! way to **** early and I`m already at work,neutral,,,,,,
 oh sweet! I`ll definitely check it out when I get the chance...,positive,,,,,,
 Youuuu`re an aaass  my aaass loooool,negative,,,,,,
"I want to ride my bicycle today, but it`s too cold and cloudy today",negative,,,,,,
 important person?  who?,neutral,,,,,,
" That`s not what  said  I like you, too, though.  is going steady with , though.....",neutral,,,,,,
" Thank you! One day at a time, right?",positive,,,,,,
" I missed mine, too. Not fun...",negative,,,,,,
via : Found #geocache Head`s Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4,neutral,,,,,,
let me dream about my spock now goodnight,neutral,,,,,,
_e thanks for following me. Nice to meet you,positive,,,,,,
Danny cut his beautiful curls,negative,,,,,,
God is so good!!,positive,,,,,,
forcing myself to watch the movie 1984 for my book report  im lazy to read,negative,,,,,,
" thanks amy, its full of hotness",positive,,,,,,
 don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,negative,,,,,,
Just finished watching the last of Star Wars,neutral,,,,,,
Thanks    ? http://blip.fm/~5z6n8,neutral,,,,,,
can`t be arsed to get out of bed  hello sunshine,negative,,,,,,
Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!),negative,,,,,,
I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags),neutral,,,,,,
" btw, do you realize your profile pic makes you look much older than you say you are?",neutral,,,,,,
" Aw, sorry E. :/ I hope it looks up for you (lame ear) And there`s always next year! ****. Lamer ear :/ Fail. Uhh..Love ya E!",neutral,,,,,,
 tiny.cc doesn`t seem to load for me  I was thinking on going to the batting cages but apparently you gotta book in adv,neutral,,,,,,
 Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus  lol.. What do you like ? x,negative,,,,,,
 Thank yooou! I might have to get it seen to... hm...  ****,positive,,,,,,
Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,positive,,,,,,
Sore throat. This is not good. I have four performances this weekend.,negative,,,,,,
 it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc,negative,,,,,,
So disappointed about the talent lineup for 'Reventï¿½n Super Estrella 2009'...hmm...Have the feeling I won`t get tix this time around.,negative,,,,,,
This is for all of you ppl! The 1 year Anniversary Video. http://is.gd/ysbs more to come after the break,neutral,,,,,,
" can I come!?   I`m Merci btw., I have always been so inspired by you since I was a teenager.",positive,,,,,,
 how crappy for him,negative,,,,,,
its freezing cold! i cant function right in this type of weather. starving to the max,negative,,,,,,
Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,negative,,,,,,
 haha! sorry to hear that,neutral,,,,,,
_k_2k - Y!360 closing? get out!,negative,,,,,,
" He`s too old school for burnouts. Just a lap around the track, like they used to.  #NASCAR",neutral,,,,,,
Hannah slept here last night  just gave her her 5:00 AM bottle and she went right back to sleep but I`m up! lol,neutral,,,,,,
" aww if I could, I would...  GBY ;)",positive,,,,,,
I ate too many kisses.,negative,,,,,,
 Thanks for the warning. Good thing my heart is unbreakable.,positive,,,,,,
"Everyone At My Place Tomorrow  Bonfire, Tofu Dogs, And Austin Powers.",neutral,,,,,,
 ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms,positive,,,,,,
 Well done! Happy for ya.,positive,,,,,,
